case_year	case_status	emp_name	emp_city	emp_state	emp_zip	emp_country	job_title	soc_code	soc_name	full_time_position	prevailing_wage	pw_unit	pw_level	wage_from	wage_to	wage_unit	work_city	work_state	emp_h1b_dependent	emp_willful_violator	lat	lng	processing_time
2014	C	CORPORATE COMPUTER SERVICES INC	FARMINGTON HILLS	MI	48335		SOFTWARE DEVELOPER/OPERATIONS  ENGINEER	15-1133	SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE	Y	71198	Y		71198		Y	DURHAM	NC			35.994034	-78.89862	6
2011	C	HEWITT ASSOCIATES LLC	LINCOLNSHIRE	IL	60069		SETUP CONFIGURATION SPECIALIST	15-1061.00	DATABASE ADMINISTRATORS	Y	47798	Y		47798	69000	Y	LINCOLNSHIRE	IL			42.190025	-87.9084	7
2013	C	THE UNIVERSITY OF HOUSTON	HOUSTON	TX	77204		VISITING ASSISTANT PROFESSOR	25-1199	POSTSECONDARY TEACHERS, ALL OTHER	Y	17490	Y		78000		Y	HOUSTON	TX			29.763283	-95.36327	4
2011	C	EBAY INC.	SAN JOSE	CA	95125		SOFTWARE ENGINEER 2	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	90716	Y		91000		Y	SAN JOSE	CA			37.339386	-121.89496	6
2016	C	STARWOOD HOTELS & RESORTS WORLDWIDE, INC.	ORLANDO	FL	32819	USA	ASSOCIATE DIRECTOR, SUPPLY CHAIN	Nov-81	LODGING MANAGERS		63398	Y		120233	0	Y	STAMFORD	CT	N	N	41.05343	-73.538734	6
2015	C	FISERV CIR LLC	BROOKFIELD	WI	53045	USA	SENIOR PROFESSIONAL SERVICES TECHNICAL CONSULTANT	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	69846	Y	Level III	72700	109000	Y	PITTSBURGH	PA	N	N	40.440624	-79.99589	7
2011	C	ORASYS LLC	WESTBOROUGH	MA	1581		PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS	Y	60050	Y		72000		Y	FRAMINGHAM	MA			42.279263	-71.41617	6
2016	C	MIND OVER DATA, LLC	MEMPHIS	TN	38117	USA	PROGRAMMER	15-1134	WEB DEVELOPERS		44242	Y		45000	0	Y	MEMPHIS	TN	N	N	35.149536	-90.04898	6
2015	C	INFOSYS LIMITED	PLANO	TX	75024	USA	ASSOCIATE CONSULTANT - US	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	59280	Y	Level I	66175		Y	HATBORO	PA	Y	N	40.174274	-75.10684	4
2011	C	UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL	CHAPEL HILL	NC	27599		LECTURER	25-1124.00	FOREIGN LANGUAGE AND LITERATURE TEACHERS, POSTSECO	Y	39080	Y		40500		Y	CHAPEL HILL	NC			35.9132	-79.05585	6
2015	C	MOMENTIVE PERFORMANCE MATERIALS USA INC.	WATERFORD	NY	12188	USA	BASICS SUPPLY/DEMAND PLANNER/PROJECT LEADER	13-1081	LOGISTICIANS	Y	81328	Y	Level IV	100000	140000	Y	WATERFORD	NY	N	N	42.79258	-73.68123	4
2014	C	COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION	COLLEGE STATION	TX	77845		BUSINESS ANALYST JC65	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	54517	Y		54517		Y	MOORESVILLE	NC			35.584858	-80.810074	6
2012	C	SKIN LASER & SURGERY SPECIALISTS OF NEW YORK & NEW	HACKENSACK	NJ	7601		DERMATOLOGIST	29-1069	PHYSICIANS AND SURGEONS, ALL OTHER	Y	26.36	H		55.95		H	MONTCLAIR	NJ			40.82593	-74.20904	6
2017	C	AMAZON CORPORATE LLC	SEATTLE	WA	98121	USA	SOFTWARE DEVELOPMENT ENGINEER II	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	106101	Y	Level II	120900	0	Y	SEATTLE	WA	N	N	47.60621	-122.33207	4
2014	C	VERBAL BEGINNINGS, LLC	ELLICOTT CITY	MD	21042		COORDINATOR	21-1019	COUNSELORS, ALL OTHER	Y	30014	Y		35000		Y	ELLICOTT CITY	MD			39.26733	-76.79831	4
2015	C	AMERICAN AIRLINES, INC.	FORT WORTH	TX	76155	USA	SENIOR BUSINESS INTELLIGENCE DEVELOPER	15-2031	OPERATIONS RESEARCH ANALYSTS	Y	62088	Y	Level II	64298	121407	Y	FORT WORTH	TX	N	N	32.72541	-97.32085	6
2012	C	CRICO/RISK MANAGEMENT FOUNDATION	CAMBRIDGE	MA	2142		BUSINESS SOLUTIONS ARCHITECT	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	55800	Y		56000	77000	Y	CAMBRIDGE	MA			42.375095	-71.105606	6
2016	C	ECOM SOLUTIONS INC	JOHNSTON	IA	50131	USA	ORACLE DATABASE ADMINISTRATOR	15-1141	DATABASE ADMINISTRATORS		55744	Y		70000	0	Y	JERSEY CITY	NJ	Y	N	40.728157	-74.077644	6
2016	C	STANDARD MOTOR PRODUCTS, INC.	LEWISVILLE	TX	75057	USA	PACKAGING ENGINEER	17-2112	INDUSTRIAL ENGINEERS		57699	Y		57699	0	Y	LEWISVILLE	TX	N	N	33.046234	-96.99417	7
2016	D	TECHIE BRAINS INCORPORATED	CHICAGO	IL	60544	USA	PROGRAMMER ANALYST	15-1131	COMPUTER PROGRAMMERS		67642	Y		70000	0	Y	COLUMBUS	GA	N	N	32.460976	-84.98771	2
2015	C	APN SOFTWARE SERVICES INC.	NEWARK	CA	94560	USA	NETWORK SOFTWARE ENGINEER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	109762	Y	Level II	116000		Y	SAN JOSE	CA	N	N	37.339386	-121.89496	6
2014	C	WIPRO LIMITED	EAST BRUNSWICK	NJ	8816		DATABASE ADMINISTRATOR LEVEL 1	15-1141	DATABASE ADMINISTRATORS	Y	60000	Y		60000		Y	FARMINGTON HILLS	MI			42.485313	-83.37715	8
2012	C	UNIVERSITY OF CALIFORNIA, SAN FRANCISCO	SAN FRANCISCO	CA	94143		STAFF RESEARCH ASSOCIATE	19-1021	BIOCHEMISTS AND BIOPHYSICISTS	Y	40498	Y		45792		Y	SAN FRANCISCO	CA			37.77493	-122.41942	6
2011	C	ADITI TECHNOLOGIES PVT. LTD.	BELLEVUE	WA	98007		NETWORK/COMPUTER SYSTEMS ADMINISTRATOR	15-1071.00	NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS	Y	59155	Y		60000	80000	Y	BELLEVUE	WA			47.61038	-122.200676	6
2013	C	ADITI TECHNOLOGIES PVT. LTD.	BELLEVUE	WA	98007		ASSOCIATE TECHNICAL ARCHITECT	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	67080	Y		67080	95000	Y	HENDERSON	NV			36.0397	-114.98193	6
2012	C	OREGON HEALTH & SCIENCE UNIVERSITY	PORTLAND	OR	97239		RESEARCH ASSOCIATE	15-2041	STATISTICIANS	Y	38605	Y		55167		Y	PORTLAND	OR			45.523453	-122.67621	6
2016	C	BRIGHAM AND WOMEN'S HOSPITAL	BOSTON	MA	2114	USA	INVESTIGATOR	19-1042	MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS		44512	Y		58000	0	Y	BOSTON	MA	N	N	42.35843	-71.05978	7
2017	C	CYGTEC INC.	RALEIGH	NC	27615		SYSTEMS ANALYST (IVR)	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	84718	Y		85000	0	Y	BOTHELL	WA	Y	N	47.76232	-122.20541	6
2011	C	SAP AMERICA, INC.	NEWTOWN SQUARE	PA	19073		BUSINESS PROCESS CONSULTANT	15-1051.00	COMPUTER SYSTEMS ANALYSTS	Y	62300	Y		75626		Y	PALO ALTO	CA			37.441883	-122.14302	6
2017	C	CONSULTING PROFESSIONALS, LLC	TONAWANDA	NY	14217	USA	PROGRAMMER ANALYST	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	77917	Y	Level II	78395	0	Y	MINNEAPOLIS	MN	Y	N	44.979965	-93.26384	4
2013	C	SYNECHRON, INC.	PISCATAWAY	NJ	8854		SYSTEMS ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	78900	Y		80300		Y	STERLING	VA			39.00622	-77.4286	6
2011	C	PASADENA INDEPENDENT SCHOOL DISTRICT	PASADENA	TX	77502		BILINGUAL ELEMENTARY TEACHER	25-2021.00	ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATI	Y	42590	Y		51986.15		Y	HOUSTON	TX			29.763283	-95.36327	6
2011	C	LIBERTY MUTUAL INSURANCE COMPANY	BOSTON	MA	2117		PRINCIPAL SOFTWARE DEVELOPER	15-1031.00	COMPUTER SOFTWARE ENGINEERS, APPLICATIONS	Y	103854	Y		103854	141600	Y	BOSTON	MA			42.35843	-71.05978	6
2014	C	CANISIUS COLLEGE	BUFFALO	NY	14208		ASSISTANT PROFESSOR OF SPORT ADMINISTRATION	25-1193	RECREATION AND FITNESS STUDIES TEACHERS, POSTSECON	Y	38340	Y		51000		Y	BUFFALO	NY			42.886448	-78.87837	6
2012	C	KPMG LLP	DALLAS	TX	75201		MANAGER	13-2011	ACCOUNTANTS AND AUDITORS	Y	83928	Y		89000	110000	Y	WASHINGTON	DC			38.89511	-77.03637	4
2012	C	NEW ENGLAND IT ASSOCIATES, INC	BURLINGTON	MA	1803		EDT ANALYST	15-1799	COMPUTER OCCUPATIONS, ALL OTHER*	Y	65125	Y		65125		Y	PISCATAWAY	NJ			40.49927	-74.39904	6
2017	C	LEX NIMBLE SOLUTIONS INC	SCHAUMBURG	IL	60173	USA	PROGRAMMER ANALYST	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	71843	Y	Level II	80000	0	Y	SCHAUMBURG	IL	Y	N	42.03336	-88.083405	6
2016	W	ONSTAK INC	MILPITAS	CA	95035	USA	PROGRAMMER ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS		69805	Y		70000	0	Y	MILPITAS	CA	N	N	37.428272	-121.906624	0
2017	C	ARICENT N.A. INC.	SANTA CLARA	CA	95054	USA	SENIOR ENGINEERING PROJECT MANAGER - VLSI	17-2072	ELECTRONICS ENGINEERS, EXCEPT COMPUTER	Y	155106	Y	Level IV	155106	175106	Y	SANTA CLARA	CA	Y	N	37.354107	-121.95524	6
2012	C	INFOSYS LIMITED	PLANO	TX	75024		PROJECT LEAD	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	89939	Y		91392		Y	NEW YORK	NY			40.761494	-73.98143	6
2015	C	IGATE TECHNOLOGIES INC.	ISELIN	NJ	8830	USA	COMPUTER SYSTEMS ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	77106	Y	Level II	77200		Y	LOS ANGELES	CA	Y	N	34.052235	-118.24368	5
2014	C	SOURCEINFOTECH INC.	EDISON	NJ	8817		QA ANALYST	15-1199	COMPUTER OCCUPATIONS, ALL OTHER	Y	52229	Y		60000		Y	WILMINGTON	DE			39.745945	-75.54659	4
2014	C	METROPOLITAN AREA PLANNING COUNCIL	BOSTON	MA	2111		GIS ANALYST II / GEO DATABASE TECHNICIAN II	17-3031	SURVEYING AND MAPPING TECHNICIANS	Y	52728	Y		56445		Y	BOSTON	MA			42.35843	-71.05978	6
2014	C	TECH MAHINDRA ( AMERICAS), INC	PLANO	TX	75093		PROGRAMMER	15-1131	COMPUTER PROGRAMMERS	Y	64147	Y		64147		Y	SAINT LOUIS	MO			38.627274	-90.19789	6
